id,relevance
1,1.8435546205006794
4,2.187203055595237
5,2.2185223859159415
6,2.7834741154186644
7,2.3079785203614596
8,2.206766048738826
10,2.7003988128815313
11,2.6801321807726324
12,2.212822158294682
13,2.7379046603963237
14,2.65535475909229
15,2.4984861308191064
19,2.4948091141465563
22,2.7608979141328325
24,2.521895040476378
25,2.066885542050727
26,2.0283211893978286
28,2.514730730553136
29,2.257681377066626
30,2.1643346498769076
31,2.7448819549177035
32,2.5254077274809794
33,2.07841759548885
36,2.4117546606206237
39,2.4666357904670626
40,2.657824767331671
41,2.170982182375022
42,2.509992537038621
43,2.7298926507870447
44,2.4114969475315218
45,2.601028163688451
46,2.636711282811118
47,2.08271357811395
49,2.433534764206855
50,2.5575776515227244
52,2.271655756150072
53,2.2585458725956236
54,2.2156875937875413
55,2.391399878660114
56,2.401420565985579
57,2.1919070371826526
58,2.2929185092306956
59,2.6963777423075226
60,1.8357477835603424
61,2.535796097289013
62,2.529178682547921
63,2.637633385149907
64,2.706666858198086
66,2.6301651953577796
67,2.3734229640199755
68,1.7575791680983703
70,2.0732060237639303
71,2.317458695359163
72,1.8404969894016519
73,1.7600095905404936
74,1.804817607801001
76,2.042560960134286
77,2.110690122858548
78,1.8127536700595752
79,1.5611326903678153
80,1.8995221712329597
82,2.3496055109312914
83,2.3643860016169107
84,1.6243746083763875
86,2.272148865209699
87,2.299916188731166
89,2.220536477410484
91,1.9058975957138036
93,1.7933651288335344
94,2.2426155745517
95,1.899906337262834
96,1.9126110722407006
97,2.0630888688244813
98,2.2308312302110105
99,1.581666330803918
100,2.6417236488378237
102,2.4612908656899886
103,2.1628646467083423
104,2.06807591430961
107,2.5735163375956147
108,2.156233382582617
109,2.7017107190441174
110,2.310200150022183
111,2.2010865324384454
112,2.3003235865156495
115,2.0958788687830774
116,2.368087883085459
118,2.5486813939076556
119,2.4843967293337075
121,2.508696947941314
124,2.615211166182523
126,2.5255820401777385
128,2.1138748537893495
129,2.62772825794493
130,2.5262245618756123
131,2.0347961001197006
132,2.174343871342757
133,2.6090483313038497
134,2.2093781926707847
135,2.1908541583055228
137,2.53802235749619
139,2.561527605465456
140,2.314331085546222
141,1.8913614995017105
142,2.016433889365429
144,2.619222699835619
145,2.677520614204931
146,2.0751800076213294
148,2.0612432496727653
151,2.3646992800517648
152,1.867810724114426
153,2.416976510246382
154,1.6823979064897643
155,1.8343756280226469
156,1.8304022555328654
159,2.017907218127324
160,1.8884963435236877
161,2.332400268473361
163,2.6306465275924835
167,2.574442977888402
168,2.5696172399465524
169,1.9588440759734864
170,2.640188676866481
171,2.795718650017766
173,2.5204138472062305
174,2.2299015013554384
175,2.361414868963403
176,1.878159407115875
180,2.226821557445957
183,2.359408348380017
184,2.2179029330259983
185,2.2179029330259983
187,2.4625146444749912
188,1.897172417952564
